question,answer,category,day
「～である」は英語で？,be,動詞,1
「持っている」は英語で？,have,動詞,1
「行く」は英語で？,go,動詞,1
「来る」は英語で？,come,動詞,1
「見る」は英語で？,see,動詞,1
「食べる」は英語で？,eat,動詞,2
「飲む」は英語で？,drink,動詞,2
「する・遊ぶ」は英語で？,play,動詞,2
「勉強する」は英語で？,study,動詞,2
「読む」は英語で？,read,動詞,2
「書く」は英語で？,write,動詞,3
「聞く」は英語で？,listen,動詞,3
「話す」は英語で？,speak,動詞,3
「見る（映像）」は英語で？,watch,動詞,3
「作る」は英語で？,make,動詞,3
「取る」は英語で？,take,動詞,4
「与える」は英語で？,give,動詞,4
「得る」は英語で？,get,動詞,4
「買う」は英語で？,buy,動詞,4
「使う」は英語で？,use,動詞,4
「知っている」は英語で？,know,動詞,5
「思う」は英語で？,think,動詞,5
「欲しい」は英語で？,want,動詞,5
「好き」は英語で？,like,動詞,5
「必要とする」は英語で？,need,動詞,5
「助ける」は英語で？,help,動詞,6
「住む」は英語で？,live,動詞,6
「働く」は英語で？,work,動詞,6
「始める」は英語で？,start,動詞,6
「終える」は英語で？,finish,動詞,6
「開ける」は英語で？,open,動詞,7
「閉める」は英語で？,close,動詞,7
「電話する」は英語で？,call,動詞,7
「尋ねる」は英語で？,ask,動詞,7
「答える」は英語で？,answer,動詞,7
「歩く」は英語で？,walk,動詞,8
「走る」は英語で？,run,動詞,8
「泳ぐ」は英語で？,swim,動詞,8
「歌う」は英語で？,sing,動詞,8
「踊る」は英語で？,dance,動詞,8
「座る」は英語で？,sit,動詞,9
「立つ」は英語で？,stand,動詞,9
「寝る」は英語で？,sleep,動詞,9
「起きる」は英語で？,wake,動詞,9
「待つ」は英語で？,wait,動詞,9
「送る」は英語で？,send,動詞,10
「受け取る」は英語で？,receive,動詞,10
「見せる」は英語で？,show,動詞,10
「教える」は英語で？,teach,動詞,10
「学ぶ」は英語で？,learn,動詞,10
「家」は英語で？,house,名詞,11
「学校」は英語で？,school,名詞,11
「友達」は英語で？,friend,名詞,11
「先生」は英語で？,teacher,名詞,11
「学生」は英語で？,student,名詞,11
「家族」は英語で？,family,名詞,12
「父」は英語で？,father,名詞,12
「母」は英語で？,mother,名詞,12
「兄弟」は英語で？,brother,名詞,12
「姉妹」は英語で？,sister,名詞,12
「本」は英語で？,book,名詞,13
「机」は英語で？,desk,名詞,13
「いす」は英語で？,chair,名詞,13
「部屋」は英語で？,room,名詞,13
「ドア」は英語で？,door,名詞,13
「窓」は英語で？,window,名詞,14
「町」は英語で？,town,名詞,14
「市」は英語で？,city,名詞,14
「国」は英語で？,country,名詞,14
「世界」は英語で？,world,名詞,14
「時間」は英語で？,time,名詞,15
「日」は英語で？,day,名詞,15
「週」は英語で？,week,名詞,15
「月」は英語で？,month,名詞,15
「年」は英語で？,year,名詞,15
「朝」は英語で？,morning,名詞,16
「午後」は英語で？,afternoon,名詞,16
「夜」は英語で？,night,名詞,16
「今日」は英語で？,today,名詞,16
「明日」は英語で？,tomorrow,名詞,16
「昨日」は英語で？,yesterday,名詞,17
「水」は英語で？,water,名詞,17
「食べ物」は英語で？,food,名詞,17
「朝食」は英語で？,breakfast,名詞,17
「昼食」は英語で？,lunch,名詞,17
「夕食」は英語で？,dinner,名詞,18
「りんご」は英語で？,apple,名詞,18
「犬」は英語で？,dog,名詞,18
「猫」は英語で？,cat,名詞,18
「鳥」は英語で？,bird,名詞,18
「魚」は英語で？,fish,名詞,19
「木」は英語で？,tree,名詞,19
「花」は英語で？,flower,名詞,19
「川」は英語で？,river,名詞,19
「山」は英語で？,mountain,名詞,19
「海」は英語で？,sea,名詞,20
「空」は英語で？,sky,名詞,20
「雨」は英語で？,rain,名詞,20
「雪」は英語で？,snow,名詞,20
「風」は英語で？,wind,名詞,20
「大きい」は英語で？,big,形容詞,21
「小さい」は英語で？,small,形容詞,21
「新しい」は英語で？,new,形容詞,21
「古い」は英語で？,old,形容詞,21
「良い」は英語で？,good,形容詞,21
「悪い」は英語で？,bad,形容詞,22
「早い」は英語で？,early,形容詞,22
「遅い」は英語で？,late,形容詞,22
「速い」は英語で？,fast,形容詞,22
「遅い」は英語で？,slow,形容詞,22
「長い」は英語で？,long,形容詞,23
「短い」は英語で？,short,形容詞,23
「高い」は英語で？,high,形容詞,23
「低い」は英語で？,low,形容詞,23
「暑い」は英語で？,hot,形容詞,23
「寒い」は英語で？,cold,形容詞,24
「暖かい」は英語で？,warm,形容詞,24
「涼しい」は英語で？,cool,形容詞,24
「幸せな」は英語で？,happy,形容詞,24
「悲しい」は英語で？,sad,形容詞,24
「忙しい」は英語で？,busy,形容詞,25
「簡単な」は英語で？,easy,形容詞,25
「難しい」は英語で？,difficult,形容詞,25
