身近な地域の調査の最初に集めるものは？,情報
調査する前に調査する【問】を決定する？,テーマ
調査前に予想して立てるものは？,仮説
調査前に作成するものは？,調査計画書
実際に地域を歩いて観察することを何という？,フィールドワーク・野外観察・野外調査
歩く道順や調査場所を記入した地図を何という？,ルートマップ
地域のくわしい人に話を聞く調査方法は？,聞き取り調査
書物や雑誌を使って調べる施設は？,図書館
インターネットで資料を探す方法は？,検索
地域の人口の変化は【問】で表すと分かりやすい？,グラフ
大きく変化した年の出来事を書きこむと、変化の様子とその【問】を結び付けて示すこともできる。？,原因
地域別の人口を【問】で表すと？,地図
どの地域にどの位の人口が分布しているか、その【問】を分かりやすく示すことができる。？,ちがい
地形図で土地の高さを表す線を何という？,等高線
等高線の間隔がせまい場所はどのような地形？,急斜面
等高線の間隔が広い場所はどのような地形？,ゆるやかな斜面
地形図で工場が集まっている場所を何という？,工業地域
土地の使われ方を表した地図を何という？,土地利用図
住宅が多く集まる地域を何という？,住宅地
工場が多く集まる地域を何という？,工業地
田や畑が広がる地域を何という？,農地
地形図で川の流れる低い土地を何という？,谷
山の頂上を地形図で確認するときに見るものは？,等高線
地形図で標高を表す数字を何という？,標高
地形図から読み取れる自然の様子の一つは？,地形
土地利用図で建物が密集している場所は何と考えられる？,市街地
工場が海沿いに集まる地域を何という？,臨海工業地域
土地利用図で緑色が多い場所は何が多い？,森林
土地利用図で農地が多い地域の主な産業は？,農業
地域の様子を調べるために地図とあわせて利用するものは？,航空写真
